Date,Open,High,Low,Close,Volume,Adj Close
2016-12-02,10436.480469,10545.370117,10402.589844,10513.349609,83810700,10513.349609
2016-12-01,10593.05957,10627.099609,10502.540039,10534.049805,90595700,10534.049805
2016-11-30,10615.790039,10691.669922,10606.040039,10640.299805,000,10640.299805
2016-11-29,10562.150391,10624.759766,10539.230469,10620.490234,000,10620.490234
2016-11-28,10655.919922,10658.360352,10554.94043,10582.669922,73586600,10582.669922
2016-11-25,10700.169922,10710.160156,10649.370117,10699.269531,000,10699.269531
2016-11-24,10689.160156,10715.650391,10653.620117,10689.259766,000,10689.259766
2016-11-23,10718.889648,10742.660156,10602.209961,10662.44043,92668900,10662.44043
2016-11-22,10745.669922,10767.730469,10707.870117,10713.849609,000,10713.849609
2016-11-21,10697.950195,10727.089844,10595.139648,10685.129883,000,10685.129883
2016-11-18,10735.049805,10737.980469,10649.120117,10664.55957,000,10664.55957
2016-11-17,10640.360352,10686.879883,10604.320312,10685.540039,000,10685.540039
2016-11-16,10726.339844,10735.469727,10610.269531,10663.870117,95844100,10663.870117
2016-11-15,10720.929688,10748.30957,10666.169922,10735.139648,104106500,10735.139648
2016-11-14,10750.620117,10802.389648,10677.089844,10693.69043,000,10693.69043
2016-11-11,10702.879883,10714.469727,10584.30957,10667.950195,129405900,10667.950195
2016-11-10,10710.040039,10793.969727,10575.959961,10630.120117,185559300,10630.120117
2016-11-09,10181.889648,10646.549805,10174.919922,10646.009766,000,10646.009766
2016-11-08,10449.519531,10486.040039,10414.830078,10482.320312,75733000,10482.320312
2016-11-07,10410.55957,10456.950195,10381.139648,10456.950195,000,10456.950195
2016-11-04,10281.870117,10286.389648,10212.530273,10259.129883,000,10259.129883
2016-11-03,10341.860352,10406.719727,10325.879883,10325.879883,82700800,10325.879883
2016-11-02,10443.519531,10460.929688,10368.200195,10370.929688,000,10370.929688
2016-11-01,10724.139648,10730.480469,10506.389648,10526.160156,75642800,10526.160156
2016-10-31,10658.669922,10687.740234,10634.339844,10665.009766,68348800,10665.009766
2016-10-28,10634.990234,10716.160156,10583.570312,10696.19043,70574500,10696.19043
2016-10-27,10691.860352,10772.669922,10656.179688,10717.080078,81591200,10717.080078
2016-10-26,10726.219727,10737.790039,10632.290039,10709.679688,75861000,10709.679688
2016-10-25,10786.25,10827.719727,10738.360352,10757.30957,89706100,10757.30957
2016-10-24,10743.870117,10820.080078,10743.870117,10761.169922,77496000,10761.169922
2016-10-21,10710.509766,10737.259766,10672.349609,10710.730469,84256600,10710.730469
2016-10-20,10665.75,10748.410156,10592.889648,10701.389648,103219300,10701.389648
2016-10-19,10626.990234,10672.219727,10587.709961,10645.679688,73697200,10645.679688
2016-10-18,10560.139648,10657.339844,10543.69043,10631.549805,88963500,10631.549805
